date,sequence,frame_id,image_path,lidar_path,image_ok,lidar_ok,image_height,image_width,lidar_points
2011_09_26,2011_09_26_drive_0001_sync,107,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\image_02\data\0000000107.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0001_sync\velodyne_points\data\0000000107.bin,True,True,375,1242,98322
2011_09_26,2011_09_26_drive_0005_sync,153,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0005_sync\image_02\data\0000000153.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0005_sync\velodyne_points\data\0000000153.bin,True,True,375,1242,98532
2011_09_26,2011_09_26_drive_0009_sync,323,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0009_sync\image_02\data\0000000323.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0009_sync\velodyne_points\data\0000000323.bin,True,True,375,1242,99562
2011_09_26,2011_09_26_drive_0009_sync,324,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0009_sync\image_02\data\0000000324.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0009_sync\velodyne_points\data\0000000324.bin,True,True,375,1242,99986
2011_09_26,2011_09_26_drive_0009_sync,328,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0009_sync\image_02\data\0000000328.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_26\2011_09_26_drive_0009_sync\velodyne_points\data\0000000328.bin,True,True,375,1242,99477
2011_09_30,2011_09_30_drive_0028_sync,1689,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\image_02\data\0000001689.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\velodyne_points\data\0000001689.bin,True,True,370,1226,97880
2011_09_30,2011_09_30_drive_0028_sync,1690,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\image_02\data\0000001690.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\velodyne_points\data\0000001690.bin,True,True,370,1226,97246
2011_09_30,2011_09_30_drive_0028_sync,1969,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\image_02\data\0000001969.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\velodyne_points\data\0000001969.bin,True,True,370,1226,96998
2011_09_30,2011_09_30_drive_0028_sync,1970,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\image_02\data\0000001970.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\velodyne_points\data\0000001970.bin,True,True,370,1226,92476
2011_09_30,2011_09_30_drive_0028_sync,1971,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\image_02\data\0000001971.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\velodyne_points\data\0000001971.bin,True,True,370,1226,93892
2011_09_30,2011_09_30_drive_0028_sync,1972,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\image_02\data\0000001972.png,E:\monodepth-obstacle-warning\data\kitti\2011_09_30\2011_09_30_drive_0028_sync\velodyne_points\data\0000001972.bin,True,True,370,1226,98986
